"Name","DisplayName","Status","StartType"
"AarSvc_69440","Agent Activation Runtime_69440","Stopped","Manual"
"AJRouter","Servicio de enrutador de AllJoyn","Stopped","Manual"
"ALG","Servicio de puerta de enlace de nivel de aplicaci?n","Stopped","Manual"
"AMD Crash Defender Service","AMD Crash Defender Service","Running","Automatic"
"AMD External Events Utility","AMD External Events Utility","Running","Automatic"
"AntiCheatExpert Service","AntiCheatExpert Service","Stopped","Manual"
"AppIDSvc","Identidad de aplicaci?n","Stopped","Manual"
"Appinfo","Informaci?n de la aplicaci?n","Running","Manual"
"AppMgmt","Administraci?n de aplicaciones","Stopped","Manual"
"AppReadiness","Preparaci?n de aplicaciones","Stopped","Manual"
"AppVClient","Microsoft App-V Client","Stopped","Disabled"
"AppXSvc","AppX Deployment Service (AppXSVC)","Running","Manual"
"AssignedAccessManagerSvc","AssignedAccessManager Service","Stopped","Manual"
"AudioEndpointBuilder","Compilador de extremo de audio de Windows","Running","Automatic"
"Audiosrv","Audio de Windows","Running","Automatic"
"AUEPLauncher","AMD User Experience Program Data Uploader","Running","Automatic"
"autotimesvc","Hora de la red de telefon?a m?vil","Stopped","Manual"
"AxInstSV","Instalador de ActiveX (AxInstSV)","Stopped","Manual"
"BcastDVRUserService_69440","GameDVR and Broadcast User Service_69440","Stopped","Manual"
"BDESVC","Servicio Cifrado de unidad BitLocker","Stopped","Manual"
"BEService","BattlEye Service","Stopped","Manual"
"BFE","Motor de filtrado de base","Running","Automatic"
"BITS","Servicio de transferencia inteligente en segundo plano (BITS)","Running","Automatic"
"BluetoothUserService_69440","Bluetooth User Support Service_69440","Running","Manual"
"BrokerInfrastructure","Servicio de infraestructura de tareas en segundo plano","Running","Automatic"
"BTAGService","Servicio de puerta de enlace de audio de Bluetooth","Running","Manual"
"BthAvctpSvc","Servicio AVCTP","Running","Manual"
"bthserv","Servicio de compatibilidad con Bluetooth","Running","Manual"
"camsvc","Servicio Administrador de funcionalidad de acceso","Stopped","Manual"
"CaptureService_69440","CaptureService_69440","Running","Manual"
"cbdhsvc_69440","Clipboard User Service_69440","Running","Manual"
"CDPSvc","Servicio de plataforma de dispositivos conectados","Running","Automatic"
"CDPUserSvc_69440","Connected Devices Platform User Service_69440","Running","Automatic"
"CertPropSvc","Propagaci?n de certificados","Stopped","Manual"
"ClickToRunSvc","Microsoft Office Click-to-Run Service","Running","Automatic"
"ClipSVC","Servicio de licencia de cliente (ClipSVC)","Running","Manual"
"cloudidsvc","Servicio de identidad en la nube de Microsoft","Stopped","Manual"
"COMSysApp","Aplicaci?n del sistema COM+","Stopped","Manual"
"ConsentUxUserSvc_69440","ConsentUX_69440","Stopped","Manual"
"CoreMessagingRegistrar","CoreMessaging","Running","Automatic"
"CredentialEnrollmentManagerUserSvc_69440","CredentialEnrollmentManagerUserSvc_69440","Stopped","Manual"
"CryptSvc","Servicios de cifrado","Running","Automatic"
"CscService","Offline Files","Stopped","Manual"
"DcomLaunch","Iniciador de procesos de servidor DCOM","Running","Automatic"
"dcsvc","Declared Configuration(DC) service","Stopped","Manual"
"defragsvc","Optimizar unidades","Stopped","Manual"
"DeviceAssociationBrokerSvc_69440","DeviceAssociationBroker_69440","Stopped","Manual"
"DeviceAssociationService","Servicio de asociaci?n de dispositivos","Running","Manual"
"DeviceInstall","Servicio de instalaci?n de dispositivos","Running","Manual"
"DevicePickerUserSvc_69440","DevicePicker_69440","Stopped","Manual"
"DevicesFlowUserSvc_69440","DevicesFlow_69440","Stopped","Manual"
"DevQueryBroker","Agente de detecci?n en segundo plano de DevQuery","Stopped","Manual"
"Dhcp","Cliente DHCP","Running","Automatic"
"diagnosticshub.standardcollector.service","Servicio Recopilador est?ndar del concentrador de diagn?sticos de Microsoft (R)","Stopped","Manual"
"diagsvc","Diagnostic Execution Service","Stopped","Manual"
"DiagTrack","Experiencia del usuario y telemetr?a asociadas","Running","Automatic"
"DialogBlockingService","DialogBlockingService","Stopped","Disabled"
"DispBrokerDesktopSvc","Mostrar el servicio de directivas","Running","Automatic"
"DisplayEnhancementService","Servicio de mejora de visualizaci?n","Stopped","Manual"
"DmEnrollmentSvc","Servicio de inscripci?n de administraci?n de dispositivos","Stopped","Manual"
"dmwappushservice","Servicio de enrutamiento de mensajes de inserci?n del Protocolo de aplicaci?n inal?mbrica (WAP) de administraci?n de dispositivos","Stopped","Manual"
"Dnscache","Cliente DNS","Running","Automatic"
"DoSvc","Optimizaci?n de distribuci?n","Running","Automatic"
"dot3svc","Configuraci?n autom?tica de redes cableadas","Stopped","Manual"
"DPS","Servicio de directivas de diagn?stico","Running","Automatic"
"DsmSvc","Administrador de configuraci?n de dispositivos","Running","Manual"
"DsSvc","Servicio de uso compartido de datos","Running","Manual"
"DusmSvc","Uso de datos","Running","Automatic"
"EABackgroundService","EABackgroundService","Stopped","Manual"
"Eaphost","Protocolo de autenticaci?n extensible","Stopped","Manual"
"EasyAntiCheat","EasyAntiCheat","Stopped","Manual"
"EasyAntiCheat_EOS","Easy Anti-Cheat (Epic Online Services)","Stopped","Manual"
"edgeupdate","Microsoft Edge Update Service (edgeupdate)","Stopped","Automatic"
"edgeupdatem","Microsoft Edge Update Service (edgeupdatem)","Stopped","Manual"
"EFS","Sistema de cifrado de archivos (EFS)","Running","Manual"
"embeddedmode","Modo incrustado","Stopped","Manual"
"EntAppSvc","Servicio de administraci?n de aplicaciones de empresa","Stopped","Manual"
"EpicOnlineServices","Epic Online Services","Stopped","Manual"
"EventLog","Registro de eventos de Windows","Running","Automatic"
"EventSystem","Sistema de eventos COM+","Running","Automatic"
"Fax","Fax","Stopped","Manual"
"fdPHost","Host de proveedor de detecci?n de funci?n","Stopped","Manual"
"FDResPub","Publicaci?n de recurso de detecci?n de funci?n","Stopped","Manual"
"fhsvc","File History Service","Stopped","Manual"
"FileSyncHelper","FileSyncHelper","Stopped","Manual"
"FontCache","Servicio de cach? de fuentes de Windows","Running","Automatic"
"FontCache3.0.0.0","Windows Presentation Foundation Font Cache 3.0.0.0","Stopped","Manual"
"FrameServer","Servicio FrameServer de la C?mara de Windows","Stopped","Manual"
"GameInput Service","GameInput Service","Stopped","Automatic"
"GameInputSvc","GameInput Service","Stopped","Manual"
"GamingServices","Gaming Services","Running","Automatic"
"GamingServicesNet","Gaming Services","Running","Automatic"
"GoogleChromeElevationService","Google Chrome Elevation Service (GoogleChromeElevationService)","Stopped","Manual"
"GoogleUpdaterInternalService130.0.6679.0","GoogleUpdater InternalService 130.0.6679.0 (GoogleUpdaterInternalService130.0.6679.0)","Stopped","Automatic"
"GoogleUpdaterService130.0.6679.0","GoogleUpdater Service 130.0.6679.0 (GoogleUpdaterService130.0.6679.0)","Stopped","Automatic"
"gpsvc","Cliente de directiva de grupo","Running","Automatic"
"GraphicsPerfSvc","GraphicsPerfSvc","Stopped","Manual"
"gupdate","Google Update Servicio (gupdate)","Stopped","Automatic"
"gupdatem","Google Update Servicio (gupdatem)","Stopped","Manual"
"hidserv","Servicio de dispositivo de interfaz humana","Running","Manual"
"HvHost","Servicio de host HV","Stopped","Manual"
"icssvc","Servicio de punto de conexi?n de Windows Mobile","Stopped","Manual"
"IKEEXT","M?dulos de creaci?n de claves de IPsec para IKE y AuthIP","Running","Automatic"
"InstallService","Servicio de instalaci?n de Microsoft Store","Running","Manual"
"iphlpsvc","Aplicaci?n auxiliar IP","Running","Automatic"
"IpxlatCfgSvc","Servicio de configuraci?n de traslaci?n de IP","Stopped","Manual"
"KeyIso","Aislamiento de claves CNG","Running","Manual"
"KtmRm","KTMRM para DTC (Coordinador de transacciones distribuidas)","Stopped","Manual"
"LanmanServer","Servidor","Running","Automatic"
"LanmanWorkstation","Estaci?n de trabajo","Running","Automatic"
"lfsvc","Servicio de geolocalizaci?n","Running","Manual"
"LicenseManager","Servicio de administrador de licencias de Windows","Running","Manual"
"lltdsvc","Asignador de detecci?n de topolog?as de nivel de v?nculo","Stopped","Manual"
"lmhosts","Aplicaci?n auxiliar de NetBIOS sobre TCP/IP","Running","Manual"
"LSM","Administrador de sesi?n local","Running","Automatic"
"LxpSvc","Servicio de experiencia de idioma","Stopped","Manual"
"MapsBroker","Administrador de mapas descargado","Stopped","Automatic"
"McpManagementService","McpManagementService","Stopped",
"MDCoreSvc","Servicio principal de Microsoft Defender","Running","Automatic"
"MessagingService_69440","MessagingService_69440","Stopped","Manual"
"MicrosoftEdgeElevationService","Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)","Stopped","Manual"
"MixedRealityOpenXRSvc","Windows Mixed Reality OpenXR Service","Stopped","Manual"
"mpssvc","Firewall de Windows Defender","Running","Automatic"
"MSDTC","Coordinador de transacciones distribuidas","Stopped","Manual"
"MSiSCSI","Servicio del iniciador iSCSI de Microsoft","Stopped","Manual"
"msiserver","Windows Installer","Stopped","Manual"
"MsKeyboardFilter","Filtro de teclado de Microsoft","Stopped","Disabled"
"MTAgentService","MTAgentService","Running","Automatic"
"MTSchedulerService","MTSchedulerService","Running","Automatic"
"NaturalAuthentication","Autenticaci?n natural","Stopped","Manual"
"NcaSvc","Asistente para la conectividad de red","Stopped","Manual"
"NcbService","Agente de conexi?n de red","Running","Manual"
"NcdAutoSetup","Configuraci?n autom?tica de dispositivos conectados a la red","Stopped","Manual"
"Netlogon","Net Logon","Stopped","Manual"
"Netman","Conexiones de red","Stopped","Manual"
"netprofm","Servicio de lista de redes","Running","Manual"
"NetSetupSvc","Servicio de configuraci?n de red","Stopped","Manual"
"NetTcpPortSharing","Servicio de uso compartido de puertos Net.Tcp","Stopped","Disabled"
"NgcCtnrSvc","Contenedor de Microsoft Passport","Stopped","Manual"
"NgcSvc","Microsoft Passport","Stopped","Manual"
"NlaSvc","Reconoc. ubicaci?n de red","Running","Automatic"
"nsi","Servicio Interfaz de almacenamiento en red","Running","Automatic"
"OneDrive Updater Service","OneDrive Updater Service","Stopped","Manual"
"OneSyncSvc_69440","Sync Host_69440","Running","Automatic"
"OverwolfUpdater","Overwolf Updater Windows SCM","Stopped","Manual"
"p2pimsvc","Administrador de identidad de redes de mismo nivel","Stopped","Manual"
"p2psvc","Agrupaci?n de red del mismo nivel","Stopped","Manual"
"PcaSvc","Servicio Asistente para la compatibilidad de programas","Running","Manual"
"PeerDistSvc","BranchCache","Stopped","Manual"
"perceptionsimulation","Servicio de simulaci?n de percepci?n de Windows","Stopped","Manual"
"PerfHost","DLL de host del Contador de rendimiento","Stopped","Manual"
"PhoneSvc","Servicio telef?nico","Running","Manual"
"PimIndexMaintenanceSvc_69440","Contact Data_69440","Stopped","Manual"
"pla","Registros y alertas de rendimiento","Stopped","Manual"
"PlugPlay","Plug and Play","Running","Manual"
"PNRPAutoReg","Servicio de publicaci?n de nombres de equipo PNRP","Stopped","Manual"
"PNRPsvc","Protocolo de resoluci?n de nombres de mismo nivel","Stopped","Manual"
"PolicyAgent","Agente de directiva IPsec","Stopped","Manual"
"Power","Energ?a","Running","Automatic"
"PrintNotify","Extensiones y notificaciones de impresora","Stopped","Manual"
"PrintWorkflowUserSvc_69440","PrintWorkflow_69440","Stopped","Manual"
"ProfSvc","Servicio de perfil de usuario","Running","Automatic"
"PushToInstall","Servicio PushToInstall de Windows","Stopped","Manual"
"QWAVE","Experiencia de calidad de audio y v?deo de Windows (qWave)","Running","Manual"
"RasAuto","Administrador de conexiones autom?ticas de acceso remoto","Stopped","Manual"
"RasMan","Administrador de conexiones de acceso remoto","Running","Automatic"
"Razer Chroma SDK Server","Razer Chroma SDK Server","Running","Automatic"
"Razer Chroma SDK Service","Razer Chroma SDK Service","Running","Automatic"
"Razer Chroma Stream Server","Razer Chroma Stream Server","Running","Automatic"
"Razer Game Manager Service","Razer Game Manager","Running","Automatic"
"Razer Synapse Service","Razer Synapse Service","Running","Automatic"
"RemoteAccess","Enrutamiento y acceso remoto","Stopped","Disabled"
"RemoteRegistry","Registro remoto","Stopped","Disabled"
"RetailDemo","Servicio de prueba comercial","Stopped","Manual"
"RmSvc","Servicio de administraci?n de radio","Running","Manual"
"RpcEptMapper","Asignador de extremos de RPC","Running","Automatic"
"RpcLocator","Ubicador de llamada a procedimiento remoto (RPC)","Stopped","Manual"
"RpcSs","Llamada a procedimiento remoto (RPC)","Running","Automatic"
"RzActionSvc","Razer Central Service","Running","Automatic"
"SamSs","Administrador de cuentas de seguridad","Running","Automatic"
"SCardSvr","Tarjeta inteligente","Stopped","Manual"
"ScDeviceEnum","Smart Card Device Enumeration Service","Stopped","Manual"
"Schedule","Programador de tareas","Running","Automatic"
"SCPolicySvc","Directiva de extracci?n de tarjetas inteligentes","Stopped","Manual"
"SDRSVC","Windows Backup","Stopped","Manual"
"seclogon","Inicio de sesi?n secundario","Stopped","Manual"
"SecurityHealthService","Servicio de seguridad de Windows","Running","Manual"
"SEMgrSvc","Payments and NFC/SE Manager","Running","Manual"
"SENS","Servicio de notificaci?n de eventos de sistema","Running","Automatic"
"Sense","Servicio Protecci?n contra amenazas avanzada de Windows Defender","Stopped","Manual"
"SensorDataService","Servicio de datos del sensor","Stopped","Manual"
"SensorService","Sensor Service","Stopped","Manual"
"SensrSvc","Servicio de supervisi?n de sensores","Stopped","Manual"
"SessionEnv","Configuraci?n de Escritorio remoto","Stopped","Manual"
"SgrmBroker","Agente de supervisi?n en tiempo de ejecuci?n de Protecci?n del sistema","Running","Automatic"
"SharedAccess","Conexi?n compartida a Internet (ICS)","Stopped","Manual"
"SharedRealitySvc","Servicio de datos espacial","Stopped","Manual"
"ShellHWDetection","Detecci?n de hardware shell","Running","Automatic"
"shpamsvc","Shared PC Account Manager","Stopped","Disabled"
"smphost","Microsoft Storage Spaces SMP","Stopped","Manual"
"SmsRouter","Servicio enrutador de SMS de Microsoft Windows.","Stopped","Manual"
"SNMPTRAP","Captura de SNMP","Stopped","Manual"
"spectrum","Servicio de percepci?n de Windows","Stopped","Manual"
"Spooler","Cola de impresi?n","Running","Automatic"
"sppsvc","Protecci?n de software","Stopped","Automatic"
"SSDPSRV","Detecci?n SSDP","Running","Manual"
"ssh-agent","OpenSSH Authentication Agent","Stopped","Disabled"
"SstpSvc","Servicio de protocolo de t?nel de sockets seguros","Running","Manual"
"StateRepository","Servicio de repositorio de estado","Running","Manual"
"Steam Client Service","Steam Client Service","Stopped","Manual"
"stisvc","Adquisici?n de im?genes de Windows (WIA)","Stopped","Automatic"
"StorSvc","Servicio de almacenamiento","Running","Automatic"
"svsvc","Comprobador puntual","Stopped","Manual"
"swprv","Proveedor de instant?neas de software de Microsoft","Stopped","Manual"
"SysMain","SysMain","Running","Automatic"
"SystemEventsBroker","Agente de eventos del sistema","Running","Automatic"
"TabletInputService","Servicio de Panel de escritura a mano y teclado t?ctil","Running","Automatic"
"TapiSrv","Telefon?a","Stopped","Manual"
"TermService","Servicios de Escritorio remoto","Stopped","Manual"
"Themes","Temas","Running","Automatic"
"TieringEngineService","Administraci?n de capas de almacenamiento","Stopped","Manual"
"TimeBrokerSvc","Agente de eventos de tiempo","Running","Manual"
"TokenBroker","Administrador de cuentas web","Running","Manual"
"TrkWks","Cliente de seguimiento de v?nculos distribuidos","Running","Automatic"
"TroubleshootingSvc","Servicio de soluci?n de problemas recomendada","Stopped","Manual"
"TrustedInstaller","Instalador de m?dulos de Windows","Running","Automatic"
"tzautoupdate","Actualizador de zona horaria autom?tica","Stopped","Disabled"
"UdkUserSvc_69440","Udk User Service_69440","Stopped","Manual"
"UevAgentService","Servicio de virtualizaci?n de la experiencia de usuario","Stopped","Disabled"
"uhssvc","Microsoft Update Health Service","Stopped","Disabled"
"UmRdpService","Redirector de puerto en modo usuario de Servicios de Escritorio remoto","Stopped","Manual"
"UnistoreSvc_69440","User Data Storage_69440","Stopped","Manual"
"upnphost","Dispositivo host de UPnP","Stopped","Manual"
"UserDataSvc_69440","User Data Access_69440","Stopped","Manual"
"UserManager","Administrador de usuarios","Running","Automatic"
"UsoSvc","Servicio orquestador de actualizaciones","Running","Automatic"
"VacSvc","Servicio Volumetric Audio Compositor","Stopped","Manual"
"VaultSvc","Administrador de credenciales","Running","Manual"
"vds","Disco virtual","Stopped","Manual"
"vgc","vgc","Stopped","Manual"
"VMAuthdService","VMware Authorization Service","Running","Automatic"
"vmicguestinterface","Interfaz de servicio invitado de Hyper-V","Stopped","Manual"
"vmicheartbeat","Servicio de latido de Hyper-V","Stopped","Manual"
"vmickvpexchange","Servicio de intercambio de datos de Hyper-V","Stopped","Manual"
"vmicrdv","Servicio de virtualizaci?n de Escritorio remoto de Hyper-V","Stopped","Manual"
"vmicshutdown","Servicio de cierre de invitado de Hyper-V","Stopped","Manual"
"vmictimesync","Servicio de sincronizaci?n de hora de Hyper-V","Stopped","Manual"
"vmicvmsession","Servicio PowerShell Direct de Hyper-V","Stopped","Manual"
"vmicvss","Solicitante de instant?neas de volumen de Hyper-V","Stopped","Manual"
"VMnetDHCP","VMware DHCP Service","Running","Automatic"
"VMUSBArbService","VMware USB Arbitration Service","Running","Automatic"
"VMware NAT Service","VMware NAT Service","Running","Automatic"
"VSS","Instant?neas de volumen","Stopped","Manual"
"W32Time","Hora de Windows","Stopped","Manual"
"WaaSMedicSvc","Servicio de Windows Update Medic","Stopped","Manual"
"WalletService","WalletService","Stopped","Manual"
"WarpJITSvc","WarpJITSvc","Stopped","Manual"
"wbengine","Servicio del m?dulo de copia de seguridad a nivel de bloque","Stopped","Manual"
"WbioSrvc","Servicio biom?trico de Windows","Stopped","Manual"
"Wcmsvc","Administrador de conexiones de Windows","Running","Automatic"
"wcncsvc","Registrador de configuraci?n de Windows Connect Now","Stopped","Manual"
"WdiServiceHost","Host del servicio de diagn?stico","Running","Manual"
"WdiSystemHost","Host de sistema de diagn?stico","Running","Manual"
"WdNisSvc","Servicio de inspecci?n de red de Antivirus de Microsoft Defender","Running","Manual"
"WebClient","Cliente web","Stopped","Manual"
"Wecsvc","Recopilador de eventos de Windows","Stopped","Manual"
"WEPHOSTSVC","Servicio host de proveedor de cifrado de Windows","Stopped","Manual"
"wercplsupport","Ayuda del Panel de control de Informes de problemas","Stopped","Manual"
"WerSvc","Servicio Informe de errores de Windows","Stopped","Manual"
"WFDSConMgrSvc","Servicio de administrador de conexiones con servicios Wi-Fi Direct","Stopped","Manual"
"WiaRpc","Still Image Acquisition Events","Stopped","Manual"
"WinDefend","Servicio de Antivirus de Microsoft Defender","Running","Automatic"
"WinHttpAutoProxySvc","Servicio de detecci?n autom?tica de proxy web WinHTTP","Running","Manual"
"Winmgmt","Instrumental de administraci?n de Windows","Running","Automatic"
"WinRM","Administraci?n remota de Windows (WS-Management)","Stopped","Manual"
"wisvc","Servicio de Windows Insider","Stopped","Manual"
"WlanSvc","Configuraci?n autom?tica de WLAN","Stopped","Manual"
"wlidsvc","Ayudante para el inicio de sesi?n de cuenta Microsoft","Stopped","Manual"
"wlpasvc","Servicio de asistente para perfil local","Stopped","Manual"
"WManSvc","Servicio de administraci?n de Windows","Stopped","Manual"
"wmiApSrv","Adaptador de rendimiento de WMI","Stopped","Manual"
"WMPNetworkSvc","Servicio de uso compartido de red del Reproductor de Windows Media","Stopped","Manual"
"workfolderssvc","Work Folders","Stopped","Manual"
"WpcMonSvc","Control parental","Stopped","Manual"
"WPDBusEnum","Servicio enumerador de dispositivos port?tiles","Stopped","Manual"
"WpnService","Servicio del sistema de notificaciones de inserci?n de Windows","Running","Automatic"
"WpnUserService_69440","Windows Push Notifications User Service_69440","Running","Automatic"
"wscsvc","Security Center","Running","Automatic"
"WSearch","Windows Search","Running","Automatic"
"wuauserv","Windows Update","Running","Manual"
"WwanSvc","Configuraci?n autom?tica de WWAN","Stopped","Manual"
"XblAuthManager","Administrador de autenticaci?n de Xbox Live","Running","Manual"
"XblGameSave","Juegos guardados en Xbox Live","Stopped","Manual"
"XboxGipSvc","Xbox Accessory Management Service","Stopped","Manual"
"XboxNetApiSvc","Servicio de red de Xbox Live","Stopped","Manual"
